GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
201112310021,2011-12-31,"Pakistan","Landi Kotal","Unknown",0,2,4,Private Citizens & Property,South Asia,,,,Bombing/Explosion,Explosives/Bombs/Dynamite
201112310019,2011-12-31,"Pakistan","Boya","Tehrik-i-Taliban Pakistan (TTP)",1,,,,,2,Unknown,Military,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201112310013,2011-12-31,"Iraq","Kirkuk","Unknown",0,,,,,0,1,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201112310008,2011-12-31,"Pakistan","Landi Kotal","Unknown",0,,,,,2,13,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201112310005,2011-12-31,"Iraq","Khan Bani Saad","Al-Qaida in Iraq",1,,,,,5,0,Terrorists/Non-state Militia,,,Middle East & North Africa,Armed Assault,,,Firearms,,,
201112300030,2011-12-30,"Thailand","Tathong","Unknown",0,,,,,0,1,Military,,,Southeast Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201112300029,2011-12-30,"Pakistan","Jamrud","Lashkar-e-Islam (Pakistan)",1,,,,,0,Unknown,Private Citizens & Property,Private Citizens & Property,,South Asia,Facility/Infrastructure Attack,,,Incendiary,Firearms,,
201112300028,2011-12-30,"Chile","Unknown","Arauco Malleco Coordinating Group (CAM) - Chile",0,,,,,0,0,Government (General),,,South America,Facility/Infrastructure Attack,,,Incendiary,,,
201112300027,2011-12-30,"Afghanistan","Unknown","Unknown",0,,,,,1,0,Military,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201112300026,2011-12-30,"Afghanistan","Unknown","Unknown",0,,,,,1,0,Military,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201112300025,2011-12-30,"Iraq","Dibis","Unknown",0,,,,,0,1,Government (General),,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
