"CountryName","Indicator","Date","value"
"Aruba","GDP per capita (current US$)","1960",
"Afghanistan","GDP per capita (current US$)","1960",59.7876806182323
"Angola","GDP per capita (current US$)","1960",
"Albania","GDP per capita (current US$)","1960",
"Andorra","GDP per capita (current US$)","1960",
"Arab World","GDP per capita (current US$)","1960",
"United Arab Emirates","GDP per capita (current US$)","1960",
"Argentina","GDP per capita (current US$)","1960",
"Armenia","GDP per capita (current US$)","1960",
"American Samoa","GDP per capita (current US$)","1960",
"Antigua and Barbuda","GDP per capita (current US$)","1960",
"Australia","GDP per capita (current US$)","1960",1806.80487639292
"Austria","GDP per capita (current US$)","1960",935.460426850415
"Azerbaijan","GDP per capita (current US$)","1960",
"Burundi","GDP per capita (current US$)","1960",70.3330737707859
"Belgium","GDP per capita (current US$)","1960",1273.69165910289
"Benin","GDP per capita (current US$)","1960",93.0225855014394
"Burkina Faso","GDP per capita (current US$)","1960",68.4247060632417
"Bangladesh","GDP per capita (current US$)","1960",88.689453391453
"Bulgaria","GDP per capita (current US$)","1960",
"Bahrain","GDP per capita (current US$)","1960",
"Bahamas, The","GDP per capita (current US$)","1960",1550.35262466106
"Bosnia and Herzegovina","GDP per capita (current US$)","1960",
"Belarus","GDP per capita (current US$)","1960",
"Belize","GDP per capita (current US$)","1960",304.90385978004
"Bermuda","GDP per capita (current US$)","1960",1902.4021189224
"Bolivia","GDP per capita (current US$)","1960",152.461763245467
"Brazil","GDP per capita (current US$)","1960",209.198785141057
"Barbados","GDP per capita (current US$)","1960",
"Brunei Darussalam","GDP per capita (current US$)","1960",
"Bhutan","GDP per capita (current US$)","1960",
"Botswana","GDP per capita (current US$)","1960",58.035545716747
"Central African Republic","GDP per capita (current US$)","1960",74.5962915552242
"Canada","GDP per capita (current US$)","1960",2294.56881421577
"Central Europe and the Baltics","GDP per capita (current US$)","1960",
"Switzerland","GDP per capita (current US$)","1960",1787.36034770201
"Channel Islands","GDP per capita (current US$)","1960",
"Chile","GDP per capita (current US$)","1960",526.36296680367
"China","GDP per capita (current US$)","1960",89.5205415103584
"Cote d'Ivoire","GDP per capita (current US$)","1960",157.193366026191
"Cameroon","GDP per capita (current US$)","1960",115.40731832225
"Congo, Dem. Rep.","GDP per capita (current US$)","1960",220.314135299101
"Congo, Rep.","GDP per capita (current US$)","1960",129.966783679841
"Colombia","GDP per capita (current US$)","1960",245.197451329424
"Comoros","GDP per capita (current US$)","1960",
"Cabo Verde","GDP per capita (current US$)","1960",
"Costa Rica","GDP per capita (current US$)","1960",380.718559501392
"Caribbean small states","GDP per capita (current US$)","1960",457.251129033982
"Cuba","GDP per capita (current US$)","1960",
"Curacao","GDP per capita (current US$)","1960",
"Cayman Islands","GDP per capita (current US$)","1960",
"Cyprus","GDP per capita (current US$)","1960",
"Czech Republic","GDP per capita (current US$)","1960",
"Germany","GDP per capita (current US$)","1960",
"Djibouti","GDP per capita (current US$)","1960",
"Dominica","GDP per capita (current US$)","1960",
"Denmark","GDP per capita (current US$)","1960",1364.51716017255
"Dominican Republic","GDP per capita (current US$)","1960",204.126211013288
"Algeria","GDP per capita (current US$)","1960",244.82471845588
