LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,INCOMEINEQ,P50P10,RT,A,2012,2.2,
AUS,INCOMEINEQ,P50P10,RT,A,2014,2.2,
AUS,INCOMEINEQ,P90P10,RT,A,2012,4.4,
AUS,INCOMEINEQ,P90P10,RT,A,2014,4.3,
AUS,INCOMEINEQ,P90P50,RT,A,2012,2,
AUS,INCOMEINEQ,P90P50,RT,A,2014,2,
AUS,INCOMEINEQ,S90S10,RT,A,2012,8.8,
AUS,INCOMEINEQ,S90S10,RT,A,2014,9.4,
AUS,INCOMEINEQ,GINI,INEQ,A,2012,0.326,
AUS,INCOMEINEQ,GINI,INEQ,A,2014,0.337,
AUT,INCOMEINEQ,P50P10,RT,A,2004,1.8,
AUT,INCOMEINEQ,P50P10,RT,A,2005,1.8,
AUT,INCOMEINEQ,P50P10,RT,A,2006,1.8,
AUT,INCOMEINEQ,P50P10,RT,A,2007,2,
AUT,INCOMEINEQ,P50P10,RT,A,2008,1.9,
AUT,INCOMEINEQ,P50P10,RT,A,2009,2,
AUT,INCOMEINEQ,P50P10,RT,A,2010,1.9,
AUT,INCOMEINEQ,P50P10,RT,A,2011,1.9,
AUT,INCOMEINEQ,P50P10,RT,A,2012,2,
AUT,INCOMEINEQ,P50P10,RT,A,2013,1.9,
AUT,INCOMEINEQ,P90P10,RT,A,2004,3.2,
AUT,INCOMEINEQ,P90P10,RT,A,2005,3.2,
AUT,INCOMEINEQ,P90P10,RT,A,2006,3.2,
AUT,INCOMEINEQ,P90P10,RT,A,2007,3.6,
AUT,INCOMEINEQ,P90P10,RT,A,2008,3.5,
AUT,INCOMEINEQ,P90P10,RT,A,2009,3.6,
AUT,INCOMEINEQ,P90P10,RT,A,2010,3.5,
AUT,INCOMEINEQ,P90P10,RT,A,2011,3.5,
AUT,INCOMEINEQ,P90P10,RT,A,2012,3.5,
AUT,INCOMEINEQ,P90P10,RT,A,2013,3.4,
AUT,INCOMEINEQ,P90P50,RT,A,2004,1.8,
AUT,INCOMEINEQ,P90P50,RT,A,2005,1.8,
AUT,INCOMEINEQ,P90P50,RT,A,2006,1.8,
AUT,INCOMEINEQ,P90P50,RT,A,2007,1.8,
AUT,INCOMEINEQ,P90P50,RT,A,2008,1.8,
AUT,INCOMEINEQ,P90P50,RT,A,2009,1.8,
AUT,INCOMEINEQ,P90P50,RT,A,2010,1.8,
AUT,INCOMEINEQ,P90P50,RT,A,2011,1.8,
AUT,INCOMEINEQ,P90P50,RT,A,2012,1.8,
AUT,INCOMEINEQ,P90P50,RT,A,2013,1.8,
AUT,INCOMEINEQ,S90S10,RT,A,2004,6,
AUT,INCOMEINEQ,S90S10,RT,A,2005,5.8,
AUT,INCOMEINEQ,S90S10,RT,A,2006,6,
AUT,INCOMEINEQ,S90S10,RT,A,2007,6.9,
AUT,INCOMEINEQ,S90S10,RT,A,2008,6.9,
AUT,INCOMEINEQ,S90S10,RT,A,2009,7.5,
AUT,INCOMEINEQ,S90S10,RT,A,2010,6.7,
AUT,INCOMEINEQ,S90S10,RT,A,2011,7.1,
AUT,INCOMEINEQ,S90S10,RT,A,2012,7,
AUT,INCOMEINEQ,S90S10,RT,A,2013,6.8,
AUT,INCOMEINEQ,GINI,INEQ,A,2004,0.269,
AUT,INCOMEINEQ,GINI,INEQ,A,2005,0.261,
AUT,INCOMEINEQ,GINI,INEQ,A,2006,0.268,
AUT,INCOMEINEQ,GINI,INEQ,A,2007,0.285,
AUT,INCOMEINEQ,GINI,INEQ,A,2008,0.281,
AUT,INCOMEINEQ,GINI,INEQ,A,2009,0.289,
AUT,INCOMEINEQ,GINI,INEQ,A,2010,0.28,
AUT,INCOMEINEQ,GINI,INEQ,A,2011,0.282,
AUT,INCOMEINEQ,GINI,INEQ,A,2012,0.276,
AUT,INCOMEINEQ,GINI,INEQ,A,2013,0.28,
BEL,INCOMEINEQ,P50P10,RT,A,2004,1.9,
BEL,INCOMEINEQ,P50P10,RT,A,2005,2,
BEL,INCOMEINEQ,P50P10,RT,A,2006,2,
BEL,INCOMEINEQ,P50P10,RT,A,2007,2,
BEL,INCOMEINEQ,P50P10,RT,A,2008,2,
BEL,INCOMEINEQ,P50P10,RT,A,2009,2,
BEL,INCOMEINEQ,P50P10,RT,A,2010,2,
BEL,INCOMEINEQ,P50P10,RT,A,2011,2,
BEL,INCOMEINEQ,P50P10,RT,A,2012,2,
BEL,INCOMEINEQ,P50P10,RT,A,2013,2,
BEL,INCOMEINEQ,P90P10,RT,A,2004,3.4,
BEL,INCOMEINEQ,P90P10,RT,A,2005,3.4,
BEL,INCOMEINEQ,P90P10,RT,A,2006,3.5,
BEL,INCOMEINEQ,P90P10,RT,A,2007,3.4,
BEL,INCOMEINEQ,P90P10,RT,A,2008,3.4,
BEL,INCOMEINEQ,P90P10,RT,A,2009,3.5,
BEL,INCOMEINEQ,P90P10,RT,A,2010,3.4,
BEL,INCOMEINEQ,P90P10,RT,A,2011,3.4,
BEL,INCOMEINEQ,P90P10,RT,A,2012,3.4,
BEL,INCOMEINEQ,P90P10,RT,A,2013,3.5,
BEL,INCOMEINEQ,P90P50,RT,A,2004,1.7,
BEL,INCOMEINEQ,P90P50,RT,A,2005,1.7,
BEL,INCOMEINEQ,P90P50,RT,A,2006,1.7,
BEL,INCOMEINEQ,P90P50,RT,A,2007,1.7,
BEL,INCOMEINEQ,P90P50,RT,A,2008,1.7,
BEL,INCOMEINEQ,P90P50,RT,A,2009,1.7,
BEL,INCOMEINEQ,P90P50,RT,A,2010,1.7,
BEL,INCOMEINEQ,P90P50,RT,A,2011,1.7,
BEL,INCOMEINEQ,P90P50,RT,A,2012,1.7,
BEL,INCOMEINEQ,P90P50,RT,A,2013,1.7,
BEL,INCOMEINEQ,S90S10,RT,A,2004,6.4,
BEL,INCOMEINEQ,S90S10,RT,A,2005,6.3,
BEL,INCOMEINEQ,S90S10,RT,A,2006,6,
BEL,INCOMEINEQ,S90S10,RT,A,2007,6.4,
BEL,INCOMEINEQ,S90S10,RT,A,2008,5.9,
BEL,INCOMEINEQ,S90S10,RT,A,2009,6.2,
BEL,INCOMEINEQ,S90S10,RT,A,2010,6,
BEL,INCOMEINEQ,S90S10,RT,A,2011,6.1,
BEL,INCOMEINEQ,S90S10,RT,A,2012,5.8,
BEL,INCOMEINEQ,S90S10,RT,A,2013,5.8,
BEL,INCOMEINEQ,GINI,INEQ,A,2004,0.288,
BEL,INCOMEINEQ,GINI,INEQ,A,2005,0.278,
BEL,INCOMEINEQ,GINI,INEQ,A,2006,0.27,
BEL,INCOMEINEQ,GINI,INEQ,A,2007,0.28,
BEL,INCOMEINEQ,GINI,INEQ,A,2008,0.269,
BEL,INCOMEINEQ,GINI,INEQ,A,2009,0.275,
BEL,INCOMEINEQ,GINI,INEQ,A,2010,0.27,
BEL,INCOMEINEQ,GINI,INEQ,A,2011,0.272,
BEL,INCOMEINEQ,GINI,INEQ,A,2012,0.268,
BEL,INCOMEINEQ,GINI,INEQ,A,2013,0.268,
CAN,INCOMEINEQ,P50P10,RT,A,2006,2.2,
CAN,INCOMEINEQ,P50P10,RT,A,2007,2.2,
CAN,INCOMEINEQ,P50P10,RT,A,2008,2.2,
CAN,INCOMEINEQ,P50P10,RT,A,2009,2.2,
CAN,INCOMEINEQ,P50P10,RT,A,2010,2.2,
CAN,INCOMEINEQ,P50P10,RT,A,2011,2.2,
CAN,INCOMEINEQ,P50P10,RT,A,2012,2.2,
CAN,INCOMEINEQ,P50P10,RT,A,2013,2.2,
CAN,INCOMEINEQ,P90P10,RT,A,2006,4.3,
CAN,INCOMEINEQ,P90P10,RT,A,2007,4.2,
