"COUNTRY","EMPSTAT","FREQUENCY","TIME_FORMAT","obsTime","obsValue"
"AUS","TE","A","P1Y","1979",1834.1
"AUS","TE","A","P1Y","1980",1836
"AUS","TE","A","P1Y","1981",1819.7
"AUS","TE","A","P1Y","1982",1802.3
"AUS","TE","A","P1Y","1983",1790.6
"AUS","TE","A","P1Y","1984",1801.6
"AUS","TE","A","P1Y","1985",1791.7
"AUS","TE","A","P1Y","1986",1799.1
"AUS","TE","A","P1Y","1987",1797.1
"AUS","TE","A","P1Y","1988",1802.7
"AUS","TE","A","P1Y","1989",1804.8
"AUS","TE","A","P1Y","1990",1779.5
"AUS","TE","A","P1Y","1991",1774.9
"AUS","TE","A","P1Y","1992",1773.7
"AUS","TE","A","P1Y","1993",1786.5
"AUS","TE","A","P1Y","1994",1797.6
"AUS","TE","A","P1Y","1995",1793.4
"AUS","TE","A","P1Y","1996",1782.7
"AUS","TE","A","P1Y","1997",1783.6
"AUS","TE","A","P1Y","1998",1768.4
"AUS","TE","A","P1Y","1999",1778.8
"AUS","TE","A","P1Y","2000",1778.7
"AUS","TE","A","P1Y","2001",1736.7
"AUS","TE","A","P1Y","2002",1731.7
"AUS","TE","A","P1Y","2003",1735.8
"AUS","TE","A","P1Y","2004",1734.5
"AUS","TE","A","P1Y","2005",1729.2
"AUS","TE","A","P1Y","2006",1720.5
"AUS","TE","A","P1Y","2007",1712.5
"AUS","TE","A","P1Y","2008",1717.2
"AUS","TE","A","P1Y","2009",1690
"AUS","TE","A","P1Y","2010",1691.5
"AUS","TE","A","P1Y","2011",1699.5
"AUS","TE","A","P1Y","2012",1678.6
"AUS","TE","A","P1Y","2013",1662.7
"AUS","TE","A","P1Y","2014",1663.6
"AUS","TE","A","P1Y","2015",1665
"AUT","DE","A","P1Y","1995",1455
"AUT","DE","A","P1Y","1996",1458
"AUT","DE","A","P1Y","1997",1472
"AUT","DE","A","P1Y","1998",1480
"AUT","DE","A","P1Y","1999",1501
"AUT","DE","A","P1Y","2000",1509
