COUNTRY,Country,VAR,Variable,CUR,Currency,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,EXPORT_TOTAL,Total international receipts,NAT,National currency,2008,2008,AUD,Australian Dollar,6,Millions,,,31935,,
AUS,Australia,EXPORT_TOTAL,Total international receipts,NAT,National currency,2009,2009,AUD,Australian Dollar,6,Millions,,,34090,,
AUS,Australia,EXPORT_TOTAL,Total international receipts,NAT,National currency,2010,2010,AUD,Australian Dollar,6,Millions,,,33990,,
AUS,Australia,EXPORT_TOTAL,Total international receipts,NAT,National currency,2011,2011,AUD,Australian Dollar,6,Millions,,,33475,,
AUS,Australia,EXPORT_TOTAL,Total international receipts,NAT,National currency,2012,2012,AUD,Australian Dollar,6,Millions,,,33298,,
AUS,Australia,EXPORT_TOTAL,Total international receipts,NAT,National currency,2013,2013,AUD,Australian Dollar,6,Millions,,,34714,,
AUS,Australia,EXPORT_TOTAL,Total international receipts,NAT,National currency,2014,2014,AUD,Australian Dollar,6,Millions,,,37935,,
AUS,Australia,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2008,2008,AUD,Australian Dollar,6,Millions,,,28185,,
AUS,Australia,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2009,2009,AUD,Australian Dollar,6,Millions,,,31075,,
AUS,Australia,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2010,2010,AUD,Australian Dollar,6,Millions,,,31176,,
AUS,Australia,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2011,2011,AUD,Australian Dollar,6,Millions,,,30803,,
AUS,Australia,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2012,2012,AUD,Australian Dollar,6,Millions,,,30807,,
AUS,Australia,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2013,2013,AUD,Australian Dollar,6,Millions,,,32374,,
AUS,Australia,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2014,2014,AUD,Australian Dollar,6,Millions,,,35524,,
AUS,Australia,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2008,2008,AUD,Australian Dollar,6,Millions,,,3750,,
AUS,Australia,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2009,2009,AUD,Australian Dollar,6,Millions,,,3015,,
AUS,Australia,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2010,2010,AUD,Australian Dollar,6,Millions,,,2814,,
AUS,Australia,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2011,2011,AUD,Australian Dollar,6,Millions,,,2672,,
AUS,Australia,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2012,2012,AUD,Australian Dollar,6,Millions,,,2491,,
AUS,Australia,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2013,2013,AUD,Australian Dollar,6,Millions,,,2340,,
AUS,Australia,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2014,2014,AUD,Australian Dollar,6,Millions,,,2411,,
AUS,Australia,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2008,2008,AUD,Australian Dollar,6,Millions,,,29917,,
AUS,Australia,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2009,2009,AUD,Australian Dollar,6,Millions,,,28528,,
AUS,Australia,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2010,2010,AUD,Australian Dollar,6,Millions,,,30286,,
AUS,Australia,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2011,2011,AUD,Australian Dollar,6,Millions,,,32877,,
AUS,Australia,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2012,2012,AUD,Australian Dollar,6,Millions,,,34012,,
