COUNTRY,Country,VARIABLE,Variable,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,INB_ARRIVALS_TOTAL,Total international arrivals,2008,2008,NBR,Number,0,Units,,,5512313,,
AUS,Australia,INB_ARRIVALS_TOTAL,Total international arrivals,2009,2009,NBR,Number,0,Units,,,5490229,,
AUS,Australia,INB_ARRIVALS_TOTAL,Total international arrivals,2010,2010,NBR,Number,0,Units,,,5790260,,
AUS,Australia,INB_ARRIVALS_TOTAL,Total international arrivals,2011,2011,NBR,Number,0,Units,,,5770902,,
AUS,Australia,INB_ARRIVALS_TOTAL,Total international arrivals,2012,2012,NBR,Number,0,Units,,,6032317,,
AUS,Australia,INB_ARRIVALS_TOTAL,Total international arrivals,2013,2013,NBR,Number,0,Units,,,6382371,,
AUS,Australia,INB_ARRIVALS_TOTAL,Total international arrivals,2014,2014,NBR,Number,0,Units,,,6867909,,
AUS,Australia,CHN,China,2008,2008,NBR,Number,0,Units,,,350155,,
AUS,Australia,CHN,China,2009,2009,NBR,Number,0,Units,,,356239,,
AUS,Australia,CHN,China,2010,2010,NBR,Number,0,Units,,,445855,,
AUS,Australia,CHN,China,2011,2011,NBR,Number,0,Units,,,533370,,
AUS,Australia,CHN,China,2012,2012,NBR,Number,0,Units,,,618818,,
AUS,Australia,CHN,China,2013,2013,NBR,Number,0,Units,,,708771,,
AUS,Australia,CHN,China,2014,2014,NBR,Number,0,Units,,,839428,,
AUS,Australia,GBR,United Kingdom,2008,2008,NBR,Number,0,Units,,,686715,,
AUS,Australia,GBR,United Kingdom,2009,2009,NBR,Number,0,Units,,,676822,,
AUS,Australia,GBR,United Kingdom,2010,2010,NBR,Number,0,Units,,,660335,,
AUS,Australia,GBR,United Kingdom,2011,2011,NBR,Number,0,Units,,,622254,,
AUS,Australia,GBR,United Kingdom,2012,2012,NBR,Number,0,Units,,,608319,,
